date,Dry-Bulb Temperature,Atmospheric Pressure,Dew-Point Temperature,Relative Humidity,wind speed,wind direction,Precip,Visibility,Solar Condition
"7:20 PM GMT on January 05, 2017",-1,1036,-2,93,5.6,270,-9999,-9999,Clear
"7:50 PM GMT on January 05, 2017",-1,1036,-2,93,5.6,280,-9999,-9999,Clear
"8:20 PM GMT on January 05, 2017",0,1037,-1,93,3.7,250,-9999,-9999,Clear
"8:50 PM GMT on January 05, 2017",-1,1037,-3,86,3.7,270,-9999,-9999,Clear
"9:20 PM GMT on January 05, 2017",-1,1037,-3,86,3.7,280,-9999,4,Mist
"9:50 PM GMT on January 05, 2017",-1,1037,-2,93,0,0,-9999,-9999,Clear
"10:20 PM GMT on January 05, 2017",-2,1037,-3,93,0,0,-9999,-9999,Clear
"10:50 PM GMT on January 05, 2017",-2,1037,-3,93,5.6,240,-9999,-9999,Clear
"11:20 PM GMT on January 05, 2017",-1,1037,-3,86,3.7,270,-9999,-9999,Clear
"12:50 AM GMT on January 06, 2017",-2,1037,-4,86,0,0,-9999,8,Unknown
"1:50 AM GMT on January 06, 2017",-2,1037,-3,93,0,0,-9999,4,Unknown
"2:50 AM GMT on January 06, 2017",-3,1037,-4,93,0,0,-9999,4,Fog
"3:20 AM GMT on January 06, 2017",-3,1037,-4,93,0,0,-9999,4,Fog
"3:50 AM GMT on January 06, 2017",-3,1037,-4,93,0,0,-9999,5,Partly Cloudy
"4:50 AM GMT on January 06, 2017",-4,1037,-5,93,0,0,-9999,8,Partly Cloudy
"5:20 AM GMT on January 06, 2017",0,1037,-1,93,0,0,-9999,8,Partly Cloudy
"5:50 AM GMT on January 06, 2017",1,1037,-1,87,11.1,200,-9999,-9999,Clear
"6:20 AM GMT on January 06, 2017",1,1037,-1,87,11.1,200,-9999,-9999,Clear
"6:50 AM GMT on January 06, 2017",2,1037,-1,81,13,200,-9999,-9999,Clear
"7:20 AM GMT on January 06, 2017",2,1037,-1,81,13,190,-9999,-9999,Clear
"7:50 AM GMT on January 06, 2017",2,1037,0,87,11.1,210,-9999,8,Mostly Cloudy
"8:20 AM GMT on January 06, 2017",2,1038,0,87,11.1,200,-9999,10,Mostly Cloudy
"8:50 AM GMT on January 06, 2017",2,1038,0,87,14.8,180,-9999,10,Mostly Cloudy
"9:20 AM GMT on January 06, 2017",4,1037,2,87,14.8,190,-9999,10,Mostly Cloudy
"9:50 AM GMT on January 06, 2017",3,1038,1,87,14.8,180,-9999,10,Mostly Cloudy
"10:50 AM GMT on January 06, 2017",4,1037,1,81,18.5,190,-9999,10,Mostly Cloudy
"11:20 AM GMT on January 06, 2017",4,1037,1,81,18.5,190,-9999,10,Mostly Cloudy
"11:50 AM GMT on January 06, 2017",5,1036,1,76,20.4,190,-9999,10,Mostly Cloudy
"12:20 PM GMT on January 06, 2017",5,1036,2,81,20.4,190,-9999,10,Overcast
"12:50 PM GMT on January 06, 2017",5,1036,2,81,16.7,190,-9999,10,Scattered Clouds
"1:20 PM GMT on January 06, 2017",5,1036,2,81,14.8,190,-9999,10,Scattered Clouds
"1:50 PM GMT on January 06, 2017",5,1035,2,81,18.5,180,-9999,10,Scattered Clouds
"2:20 PM GMT on January 06, 2017",5,1035,2,81,18.5,180,-9999,10,Mostly Cloudy
"2:50 PM GMT on January 06, 2017",4,1035,2,87,16.7,180,-9999,10,Scattered Clouds
"3:20 PM GMT on January 06, 2017",4,1035,2,87,13,180,-9999,10,Mostly Cloudy
"3:50 PM GMT on January 06, 2017",4,1035,2,87,14.8,190,-9999,10,Partly Cloudy
"4:20 PM GMT on January 06, 2017",4,1035,2,87,14.8,190,-9999,10,Partly Cloudy
"4:50 PM GMT on January 06, 2017",5,1035,3,87,14.8,200,-9999,10,Scattered Clouds
"5:20 PM GMT on January 06, 2017",6,1035,4,87,13,230,-9999,10,Mostly Cloudy
"5:50 PM GMT on January 06, 2017",5,1035,3,87,13,210,-9999,10,Light Rain
"6:20 PM GMT on January 06, 2017",5,1035,3,87,16.7,220,-9999,10,Light Rain
"6:50 PM GMT on January 06, 2017",5,1034,3,87,18.5,210,-9999,10,Light Rain
"7:20 PM GMT on January 06, 2017",4,1034,2,87,22.2,210,-9999,10,Light Rain
"7:50 PM GMT on January 06, 2017",4,1034,2,87,20.4,210,-9999,10,Light Rain
"8:20 PM GMT on January 06, 2017",5,1034,2,81,24.1,210,-9999,10,Light Rain
"8:50 PM GMT on January 06, 2017",5,1034,3,87,22.2,220,-9999,10,Light Rain
"9:20 PM GMT on January 06, 2017",4,1033,2,87,24.1,210,-9999,10,Light Rain
"9:50 PM GMT on January 06, 2017",4,1033,3,93,24.1,220,-9999,7,Light Rain
"10:20 PM GMT on January 06, 2017",5,1033,3,87,24.1,220,-9999,5,Light Rain
"11:50 PM GMT on January 06, 2017",5,1032,4,93,24.1,220,-9999,5,Light Rain
"12:50 AM GMT on January 07, 2017",5,1032,4,93,16.7,220,-9999,7,Light Rain
"1:50 AM GMT on January 07, 2017",6,1031,4,87,14.8,230,-9999,10,Light Rain
"2:50 AM GMT on January 07, 2017",8,1031,6,87,16.7,230,-9999,6,Light Drizzle
"3:50 AM GMT on January 07, 2017",7,1030,6,93,16.7,230,-9999,6,Mostly Cloudy
"4:50 AM GMT on January 07, 2017",7,1030,6,93,13,240,-9999,10,Mostly Cloudy
"5:20 AM GMT on January 07, 2017",8,1030,6,87,13,260,-9999,10,Overcast
"5:50 AM GMT on January 07, 2017",8,1030,6,87,14.8,260,-9999,10,Overcast
"6:20 AM GMT on January 07, 2017",8,1030,6,87,13,260,-9999,10,Mostly Cloudy
"6:50 AM GMT on January 07, 2017",8,1030,6,87,13,260,-9999,4,Rain
"7:20 AM GMT on January 07, 2017",8,1030,6,87,14.8,260,-9999,4.5,Rain
"7:50 AM GMT on January 07, 2017",7,1030,6,93,9.3,280,-9999,2.5,Drizzle
"8:20 AM GMT on January 07, 2017",8,1031,7,93,9.3,270,-9999,2.5,Drizzle
"8:50 AM GMT on January 07, 2017",8,1031,7,93,11.1,280,-9999,2.5,Light Rain
"9:20 AM GMT on January 07, 2017",8,1031,7,93,9.3,280,-9999,2.5,Light Rain
"9:50 AM GMT on January 07, 2017",8,1031,7,93,7.4,280,-9999,3.5,Light Rain
"10:20 AM GMT on January 07, 2017",8,1031,7,93,9.3,280,-9999,4,Light Rain
"10:50 AM GMT on January 07, 2017",9,1031,8,93,9.3,300,-9999,4,Light Drizzle
"11:20 AM GMT on January 07, 2017",9,1031,8,93,9.3,310,-9999,5,Mostly Cloudy
"12:20 PM GMT on January 07, 2017",9,1031,7,87,9.3,300,-9999,7,Overcast
"12:50 PM GMT on January 07, 2017",9,1031,7,87,7.4,290,-9999,4.5,Haze
"1:20 PM GMT on January 07, 2017",9,1031,7,87,7.4,290,-9999,4.5,Haze
"1:50 PM GMT on January 07, 2017",9,1030,7,87,7.4,300,-9999,4.5,Haze
"2:20 PM GMT on January 07, 2017",10,1031,8,87,7.4,300,-9999,5,Haze
"2:50 PM GMT on January 07, 2017",10,1031,9,94,7.4,300,-9999,5,Light Drizzle
"3:20 PM GMT on January 07, 2017",9,1031,8,93,5.6,320,-9999,6,Light Drizzle
"3:50 PM GMT on January 07, 2017",9,1031,8,93,5.6,330,-9999,6,Light Drizzle
"4:20 PM GMT on January 07, 2017",9,1031,7,87,7.4,340,-9999,8,Mostly Cloudy
"4:50 PM GMT on January 07, 2017",9,1031,7,87,9.3,320,-9999,10,Mostly Cloudy
"5:20 PM GMT on January 07, 2017",9,1032,7,87,9.3,300,-9999,10,Mostly Cloudy
"5:50 PM GMT on January 07, 2017",9,1032,7,87,9.3,300,-9999,10,Mostly Cloudy
"6:20 PM GMT on January 07, 2017",9,1032,6,82,9.3,300,-9999,10,Mostly Cloudy
"6:50 PM GMT on January 07, 2017",9,1032,6,82,5.6,300,-9999,10,Mostly Cloudy
"7:20 PM GMT on January 07, 2017",9,1031,6,82,7.4,310,-9999,10,Mostly Cloudy
"7:50 PM GMT on January 07, 2017",8,1032,6,87,5.6,310,-9999,10,Mostly Cloudy
"8:20 PM GMT on January 07, 2017",8,1032,6,87,5.6,270,-9999,10,Mostly Cloudy
"8:50 PM GMT on January 07, 2017",8,1032,6,87,7.4,270,-9999,10,Mostly Cloudy
"9:20 PM GMT on January 07, 2017",8,1032,6,87,7.4,270,-9999,10,Mostly Cloudy
